	Tweets_Ago	Compound	Negative	Neutral	Positive	Target	Word
0	0	0.4215	0.0	0.797	0.203	@BBC	"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv"
1	1	-0.5423	0.189	0.763	0.048	@BBC	RT @BBCOne: A mysterious figure reaches out to Alex, who is finding it increasingly difficult to say no. #McMafia. Tonight, 9pm. @BBCOne. h…
2	2	-0.4939	0.138	0.862	0.0	@BBC	"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…"
3	3	0.7096	0.0	0.731	0.269	@BBC	RT @bbcthree: The teen who invented a 3D-printed hand for £225 to help those who couldn't afford them. https://t.co/ICW215RyF2
4	4	0.4939	0.0	0.824	0.176	@BBC	"How do you keep your New Year's resolution to save cash? ?
This way, honest... https://t.co/vtkNULVdVW https://t.co/8UciSw865E"
5	5	0.0	0.0	1.0	0.0	@BBC	"RT @BBCOne: ??? 

#DeathInParadise https://t.co/veaTuKtdbW"
6	6	0.0	0.0	1.0	0.0	@BBC	"What secrets and stories does the house you live in hold?

@DavidOlusoga investigates the history of one house, fro… https://t.co/KZQeG4WBuS"
7	7	0.4576	0.0	0.85	0.15	@BBC	This very special 'paper' made from animal remains could be used in fertility treatments and wound healing. https://t.co/EfULoLaqOo
8	8	0.128	0.076	0.831	0.093	@BBC	"RT @BBCNews: Victims of people trafficking are in every town and city in the UK.

What is the true scale of the global trade in humans? #Mc…"
9	9	0.0	0.0	1.0	0.0	@BBC	Wildlife rescuers have removed 43 reptile eggs from a sandpit at a school in Australia. ?? https://t.co/nysOcLm4P8 https://t.co/5jLnBqT851
10	10	-0.5095	0.155	0.845	0.0	@BBC	Scientists have decoded the genome of the Sumatran rhinoceros - one of the most threatened mammals on Earth. ????… https://t.co/oCvXq9VIj4
11	11	0.0	0.0	1.0	0.0	@BBC	? 8 stars you didn't know had a sibling. ? https://t.co/sfdfrA8BPZ https://t.co/WI45VvRf8q
12	12	0.6114	0.0	0.501	0.499	@BBC	Happy New Year everyone! ? https://t.co/T2bWii5es4
13	13	0.0	0.0	1.0	0.0	@BBC	RT @BBCRadio2: 6 memorable moments from 25 years of Jools’ Annual Hootenanny, including a spellbinding performance from the late Amy Wineho…
14	14	0.4005	0.0	0.856	0.144	@BBC	Nile Rodgers is very excited to bring in the New Year tonight with us on @BBCOne. ? ? https://t.co/5w3Rbz6zci
15	15	-0.5994	0.196	0.804	0.0	@BBC	"RT @bbcdoctorwho: Mark Gatiss gives us a snapshot of filming in the World War One trenches…
#DoctorWho https://t.co/2aZcBgbCdl"
16	16	0.0	0.0	1.0	0.0	@BBC	Meet Tanzania's wheelchair tennis ace. ? https://t.co/1lkGFdDjDG
17	17	0.0	0.0	1.0	0.0	@BBC	? @BrunoMars: Live in Harlem. 10:25pm on @BBCOne. ? https://t.co/WoGSJ3JvdV https://t.co/jKLXAp3cTC
18	18	0.2732	0.187	0.549	0.264	@BBC	Meet the women who created a baby-friendly comedy night to help combat the feelings of isolation that can come alon… https://t.co/l32IgBjLiH
19	19	0.0	0.0	1.0	0.0	@BBC	"""The White House or Buckingham Palace?""

This morning Prince Harry interviewed @BarackObama for@BBCr4today. For som… https://t.co/2JydEFby93"
20	20	0.8591	0.0	0.537	0.463	@BBC	"?? Can chocolate make you happy, healthy and wise? https://t.co/Ui08nNwNqP

**please be yes** https://t.co/gBok0UDRJq"
21	21	0.0	0.0	1.0	0.0	@BBC	"RT @BBCr4today: Prince Harry is all set to guest edit the programme on Wednesday where you can expect a lot more of this...
Listen live her…"
22	22	0.2846	0.0	0.918	0.082	@BBC	We all know the lyrics to the beloved Fairytale of New York, but how much do you know about the song and its legacy… https://t.co/D62etc9KsC
